model,rmse,mae,correlation,spearman_rank_correlation,mean_ic,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,turnover
ridge,0.0287286117203276,0.0200517258778653,0.0242585711049176,0.0611512577492793,0.0070704987628105,0.200065435505361,0.265207654949207,0.7543727783561824,-0.7729747937730713,0.4184592013888888
tree,0.0295396143461248,0.0204422965187056,0.0026938752383595,0.0508657025778088,0.0021809974601624,-0.0480435151811013,0.2269344228788311,-0.2117066003986254,-0.7492216819968269,0.5135720486111112
mlp,0.0297636194272871,0.0205539778837142,0.0390622607628917,0.0367419929628552,-0.0068402607078222,-0.0853676028782319,0.2222826651259275,-0.3840497540816759,-0.7987437922979381,0.5307942708333333
