model,horizon,selection_method,weighting_scheme,rebalance_frequency,turnover_cap,gross_return,net_return,sharpe,max_drawdown,turnover,annualized_volatility,return_per_unit_turnover,mean_IC,quantile_spread
ranker,20,decile,equal,1,False,0.0005956754732372449,0.0005252604026519947,0.006107096463068383,-0.2821607980042058,0.0005586592178770949,0.08600820468915413,0.9402161207470706,0.03084095064210951,0.002567897834511522
ranker,20,decile,equal,5,False,0.0005956754732372449,0.0005252604026519947,0.006107096463068383,-0.2821607980042058,0.0005586592178770949,0.08600820468915413,0.9402161207470706,0.03084095064210951,0.002567897834511522
ranker,20,decile,equal,10,False,0.0005956754732372449,0.0005252604026519947,0.006107096463068383,-0.2821607980042058,0.0005586592178770949,0.08600820468915413,0.9402161207470706,0.03084095064210951,0.002567897834511522
tree,20,decile,equal,1,False,0.0005956754732372449,0.0005252604026519947,0.006107096463068383,-0.2821607980042058,0.0005586592178770949,0.08600820468915413,0.9402161207470706,0.01021951979489251,-0.0017791915761458802
tree,20,decile,equal,5,False,0.0005956754732372449,0.0005252604026519947,0.006107096463068383,-0.2821607980042058,0.0005586592178770949,0.08600820468915413,0.9402161207470706,0.01021951979489251,-0.0017791915761458802
tree,20,decile,equal,10,False,0.0005956754732372449,0.0005252604026519947,0.006107096463068383,-0.2821607980042058,0.0005586592178770949,0.08600820468915413,0.9402161207470706,0.01021951979489251,-0.0017791915761458802
ranker,20,decile,equal,1,True,0.0005626312341455719,0.0004922459443863492,0.005723273866942705,-0.28216079800420657,0.0005586592178770949,0.08600775636992193,0.8811202404515651,0.03084095064210951,0.002567897834511522
tree,20,decile,equal,1,True,0.0005626312341455719,0.0004922459443863492,0.005723273866942705,-0.28216079800420657,0.0005586592178770949,0.08600775636992193,0.8811202404515651,0.01021951979489251,-0.0017791915761458802
ranker,20,decile,equal,10,True,4.633725478209172e-05,-2.4078622635759217e-05,-0.0002802194242722385,-0.28158169646812004,0.0005586592178770949,0.08592774286898247,-0.043100734518009005,0.03084095064210951,0.002567897834511522
tree,20,decile,equal,10,True,4.633725478209172e-05,-2.4078622635759217e-05,-0.0002802194242722385,-0.28158169646812004,0.0005586592178770949,0.08592774286898247,-0.043100734518009005,0.01021951979489251,-0.0017791915761458802
ranker,10,decile,signal,10,False,-0.0009307021479116884,-0.0018659459382202037,-0.021500258522524993,-0.30833785516960466,0.007432630444362118,0.0867871396181271,-0.2510478560972424,0.028483120471291725,0.0027379479648458422
ranker,10,decile,signal,10,True,-0.0015925145186101997,-0.002523378781209673,-0.02910159517762857,-0.3077207997361687,0.0074025523015520695,0.08670929431213736,-0.34087956132111413,0.028483120471291725,0.0027379479648458422
ranker,10,decile,signal,5,True,-0.002463792241766405,-0.00417401681352314,-0.0478967287762915,-0.31099346522343185,0.013614465621951352,0.08714617720593155,-0.30658690024477664,0.028483120471291725,0.0027379479648458422
ranker,10,decile,signal,5,False,-0.002575099762714528,-0.004291073395730649,-0.049217254858636025,-0.3109934652234324,0.013661095815620397,0.0871863619386262,-0.3141090183134607,0.028483120471291725,0.0027379479648458422
tree,20,decile,signal,10,False,-0.0021076256566138207,-0.0045299135405814095,-0.04994731398437137,-0.3116093901896777,0.019293576406085425,0.09069383674963642,-0.23478869055882354,0.01021951979489251,-0.0017791915761458802
ranker,20,decile,signal,10,False,-0.004096278268534981,-0.00495900727850751,-0.05729980684875736,-0.30118597467601815,0.0068786400757403915,0.08654492137463557,-0.7209284428177819,0.03084095064210951,0.002567897834511522
ranker,20,decile,signal,5,True,-0.0034462334269894646,-0.005014009216035231,-0.057894939828016356,-0.3031676069712437,0.012491593879826074,0.08660531008288337,-0.4013906683383981,0.03084095064210951,0.002567897834511522
