model,horizon,feature_set,IC,IC_volatility,quantile_spread,net_return,Sharpe,turnover,max_drawdown
ranker,10,baseline,0.028483120471291725,0.2307649128767972,0.0027379479648458435,0.0025160239430188636,0.029277088996530722,0.0005555555555555556,-0.2821607980042087
ranker,10,extended,0.028372936656554774,0.23065855483936962,0.0028988659524302636,0.0025160239430188636,0.029277088996530722,0.0005555555555555556,-0.2821607980042087
ranker,20,baseline,0.03084095064210951,0.22528601933198122,0.0025678978345115237,0.0007434287880567769,0.008648294575893951,0.0005586592178770949,-0.2821607980042087
ranker,20,extended,0.03103831744566819,0.22434399781599262,0.0028335096495769353,0.0007434287880567769,0.008648294575893951,0.0005586592178770949,-0.2821607980042087
tree,20,baseline,0.01021951979489251,0.2031631687751141,-0.0017791915761458808,0.0007434287880567769,0.008648294575893951,0.0005586592178770949,-0.2821607980042087
tree,20,extended,0.010518102925572046,0.20691763271927743,-0.0013725185914684225,0.0007434287880567769,0.008648294575893951,0.0005586592178770949,-0.2821607980042087
