model,horizon,mean_IC,quantile_spread,net_return,Sharpe,turnover,max_drawdown,ranking_efficiency,execution_efficiency,total_efficiency
ranker,10,0.0283729366565547,0.0028988659524302,0.0025160239430188,0.0292770889965307,0.0005555555555555,-0.2821607980042087,0.10217010623609542,0.8679338694186763,0.08867689564441153
ranker,20,0.0310383174456681,0.0028335096495769,0.0007434287880567,0.0086482945758939,0.000558659217877,-0.2821607980042087,0.09129069752369462,0.26237030396833444,0.023951968058773032
tree,20,0.010518102925572,-0.0013725185914684,0.0007434287880567,0.0086482945758939,0.000558659217877,-0.2821607980042087,-0.13049107820874067,-0.541652982100109,0.07068088164922293
