model,horizon,ic,ic_volatility,quantile_spread,return,sharpe_ratio,turnover,max_drawdown
ranker,10,0.028483120471291725,0.2307649128767972,0.0027379479648458435,-0.004174014837678541,-0.047896706176414165,0.013614465652240648,-0.310993470169576
tree,10,0.022099679434885274,0.19906602350457056,0.002299659099543978,-0.010275542658678138,-0.11124871620079062,0.03824728736400351,-0.3302150860487777
ranker,20,0.03084095064210951,0.22528601933198122,0.0025678978345115237,-0.0050140071943397535,-0.05789491660868721,0.012491594123412591,-0.3031676098632795
tree,20,0.01021951979489251,0.2031631687751141,-0.0017791915761458808,0.0025850086888794532,0.028598442385747245,0.03376850835942351,-0.3212118937846581
